Designator,Mid X,Mid Y,Rotation,Layer
R292,128.935,-96.32363,90.0,top
R293,132.835,-89.52113,180.0,top
R294,136.235,-89.52113,0.0,top
R295,138.535,-89.52113,0.0,top
R296,136.135,-111.32113,0.0,top
R297,133.835,-111.32113,0.0,top
R298,131.535,-111.32113,0.0,top
R299,128.935,-110.72113,270.0,top
R3,71.785,-80.53113,270.0,top
R30,92.715,-88.33113,0.0,top
R300,138.435,-111.32113,0.0,top
R301,140.365,-98.72363,90.0,top
R302,140.365,-101.12363,90.0,top
R303,140.365,-103.52113,270.0,top
R304,140.365,-105.92113,270.0,top
R305,140.365,-108.32113,270.0,top
R306,140.365,-93.92363,90.0,top
R307,140.365,-96.32363,90.0,top
R308,144.265,-89.52113,180.0,top
R309,147.665,-89.52113,0.0,top
R31,94.645,-75.73363,90.0,top
R310,149.965,-89.52113,0.0,top
R311,147.565,-111.32113,0.0,top
R312,145.265,-111.32113,0.0,top
R313,142.965,-111.32113,0.0,top
R314,140.365,-110.72113,270.0,top
R315,149.865,-111.32113,0.0,top
R316,151.795,-98.72363,90.0,top
R317,151.795,-101.12363,90.0,top
R318,151.795,-103.52113,270.0,top
R319,151.795,-105.92113,270.0,top
R32,94.645,-78.13363,90.0,top
R320,151.795,-108.32113,270.0,top
R321,151.795,-93.92363,90.0,top
R322,151.795,-96.32363,90.0,top
R323,155.695,-89.52113,180.0,top
R324,159.095,-89.52113,0.0,top
R325,161.395,-89.52113,0.0,top
R326,158.995,-111.32113,0.0,top
R327,156.695,-111.32113,0.0,top
R328,154.395,-111.32113,0.0,top
R329,151.795,-110.72113,270.0,top
R33,94.645,-80.53113,270.0,top
R330,161.295,-111.32113,0.0,top
R331,163.225,-98.72363,90.0,top
R332,163.225,-101.12363,90.0,top
R333,163.225,-103.52113,270.0,top
R334,163.225,-105.92113,270.0,top
R335,163.225,-108.32113,270.0,top
R336,163.225,-93.92363,90.0,top
R337,163.225,-96.32363,90.0,top
R338,167.125,-89.52113,180.0,top
R339,170.525,-89.52113,0.0,top
R34,94.645,-82.93113,270.0,top
R340,172.825,-89.52113,0.0,top
R341,170.425,-111.32113,0.0,top
R342,168.125,-111.32113,0.0,top
R343,165.825,-111.32113,0.0,top
R344,163.225,-110.72113,270.0,top
R345,172.725,-111.32113,0.0,top
R346,174.655,-98.72363,90.0,top
R347,174.655,-101.12363,90.0,top
R348,174.655,-103.52113,270.0,top
R349,174.655,-105.92113,270.0,top
R35,94.645,-85.33113,270.0,top
R350,174.655,-108.32113,270.0,top
R351,174.655,-93.92363,90.0,top
R352,174.655,-96.32363,90.0,top
R353,178.555,-89.52113,180.0,top
R354,181.955,-89.52113,0.0,top
R355,184.255,-89.52113,0.0,top
R356,181.855,-111.32113,0.0,top
R357,179.555,-111.32113,0.0,top
R358,177.255,-111.32113,0.0,top
